iter	Passed	Remaining
0	133	133749
1	141	70601
2	148	49475
3	151	37703
4	156	31072
5	157	26118
6	158	22549
7	160	19856
8	161	17800
9	163	16146
10	164	14766
11	165	13616
12	168	12814
13	170	12012
14	172	11303
15	173	10660
16	174	10107
17	176	9615
18	177	9166
19	178	8769
20	180	8404
21	183	8174
22	185	7872
23	186	7590
24	187	7326
25	189	7087
26	190	6875
27	192	6667
28	193	6475
29	194	6300
30	197	6172
31	198	6017
32	200	5865
33	201	5723
34	203	5608
35	205	5499
36	206	5381
37	208	5277
38	209	5170
39	219	5272
40	221	5180
41	234	5352
42	237	5292
43	239	5196
44	240	5108
45	245	5096
46	246	5007
47	248	4920
48	249	4838
49	250	4768
50	258	4803
51	260	4749
52	262	4683
53	263	4615
54	270	4646
55	271	4577
56	273	4518
57	274	4456
58	275	4397
59	276	4339
60	278	4286
61	281	4259
62	283	4218
63	284	4167
64	286	4115
65	287	4065
66	288	4019
67	290	3977
68	291	3933
69	292	3892
70	296	3884
71	299	3855
72	300	3813
73	301	3772
74	302	3733
75	304	3697
76	305	3662
77	306	3627
78	308	3591
79	310	3575
80	313	3553
81	314	3521
82	315	3481
83	316	3450
84	317	3419
85	319	3393
86	321	3370
87	322	3341
88	323	3313
89	325	3295
90	327	3271
91	329	3247
92	330	3224
93	331	3199
94	333	3175
95	334	3151
96	336	3130
97	339	3124
98	342	3115
99	344	3097
100	345	3079
101	348	3065
102	349	3044
103	350	3021
104	361	3079
105	363	3067
106	365	3046
107	372	3074
108	374	3062
109	377	3053
110	378	3033
111	379	3012
112	381	2991
113	386	3002
114	387	2984
115	389	2971
116	391	2954
117	392	2935
118	394	2917
119	395	2898
120	396	2879
121	397	2859
122	400	2858
123	402	2842
124	404	2829
125	405	2812
126	406	2795
127	407	2779
128	409	2763
129	410	2747
130	411	2731
131	415	2729
132	416	2716
133	417	2700
134	419	2686
135	420	2671
136	421	2656
137	422	2641
138	424	2628
139	426	2617
140	427	2604
141	430	2599
142	431	2585
143	433	2574
144	434	2561
145	435	2547
146	436	2535
147	438	2521
148	439	2510
149	440	2498
150	442	2486
151	446	2488
152	447	2476
153	448	2463
154	449	2452
155	451	2440
156	452	2430
157	453	2419
158	455	2408
159	456	2397
160	457	2383
161	459	2375
162	460	2364
163	461	2354
164	463	2344
165	464	2334
166	466	2324
167	467	2314
168	468	2305
169	470	2295
170	473	2293
171	475	2289
172	477	2281
173	479	2274
174	480	2266
175	482	2257
176	483	2250
177	489	2262
178	491	2253
179	492	2243
180	493	2234
181	495	2225
182	496	2217
183	498	2209
184	499	2199
185	500	2190
186	503	2189
187	504	2180
188	506	2171
189	507	2163
190	508	2154
191	510	2146
192	511	2138
193	512	2130
194	513	2121
195	515	2113
196	519	2117
197	520	2109
198	522	2102
199	523	2093
200	524	2085
201	526	2078
202	527	2072
203	529	2064
204	530	2058
205	534	2058
206	535	2050
207	536	2043
208	537	2034
209	540	2032
210	543	2030
211	546	2029
212	550	2034
213	552	2029
214	555	2026
215	556	2019
216	557	2013
217	559	2006
218	564	2011
219	565	2004
220	566	1997
221	567	1990
222	569	1983
223	570	1977
224	572	1970
225	573	1964
226	578	1971
227	581	1968
228	582	1960
229	583	1954
230	586	1954
231	588	1948
232	591	1946
233	594	1944
234	596	1940
235	597	1933
236	598	1927
237	600	1921
238	601	1914
239	602	1907
240	603	1900
241	609	1910
242	611	1904
243	612	1897
244	613	1891
245	615	1885
246	616	1879
247	618	1874
248	619	1868
249	624	1872
250	625	1866
251	627	1861
252	628	1855
253	629	1849
254	631	1843
255	632	1837
256	633	1832
257	641	1843
258	642	1838
259	643	1832
260	645	1826
261	646	1820
262	647	1815
263	649	1810
264	655	1816
265	656	1811
266	658	1806
267	659	1800
268	660	1795
269	662	1790
270	663	1784
271	664	1778
272	670	1786
273	672	1780
274	673	1775
275	674	1769
276	675	1764
277	677	1759
278	678	1753
279	679	1748
280	683	1747
281	685	1745
282	686	1739
283	687	1734
284	689	1728
285	690	1723
286	691	1718
287	692	1712
288	694	1707
289	695	1702
290	698	1701
291	699	1695
292	700	1690
293	701	1685
294	703	1680
295	704	1674
296	705	1669
297	707	1666
298	708	1662
299	712	1662
300	714	1658
301	715	1653
302	716	1648
303	718	1644
304	719	1639
305	720	1634
306	721	1629
307	722	1624
308	723	1618
309	727	1618
310	728	1614
311	729	1609
312	730	1604
313	732	1599
314	733	1594
315	734	1589
316	735	1584
317	736	1580
318	738	1575
319	741	1574
320	742	1571
321	744	1566
322	745	1561
323	746	1557
324	747	1552
325	748	1547
326	749	1543
327	751	1538
328	752	1534
329	753	1529
330	755	1527
331	756	1522
332	758	1518
333	759	1513
334	760	1509
335	761	1505
336	762	1500
337	764	1496
338	765	1492
339	766	1488
340	772	1493
341	774	1490
342	775	1486
343	777	1481
344	778	1477
345	779	1473
346	780	1469
347	783	1467
348	788	1470
349	794	1475
350	808	1495
351	811	1493
352	812	1489
353	814	1485
354	815	1481
355	817	1479
356	819	1475
357	820	1471
358	821	1467
359	823	1463
360	824	1458
361	825	1454
362	826	1450
363	828	1446
364	829	1442
365	830	1438
366	835	1441
367	837	1437
368	838	1433
369	839	1429
370	840	1424
371	841	1420
372	842	1415
373	843	1411
374	844	1406
375	845	1402
376	845	1397
377	848	1396
378	850	1392
379	851	1388
380	852	1384
381	853	1380
382	854	1376
383	856	1373
384	857	1369
385	858	1365
386	859	1361
387	860	1356
388	861	1352
389	863	1350
390	865	1347
391	866	1344
392	867	1340
393	868	1336
394	869	1332
395	870	1328
396	872	1324
397	873	1320
398	873	1316
399	874	1312
400	876	1308
401	879	1308
402	880	1304
403	881	1300
404	882	1296
405	883	1292
406	884	1288
407	884	1283
408	885	1279
409	886	1275
410	887	1271
411	888	1267
412	889	1264
413	891	1261
414	894	1260
415	895	1257
416	896	1253
417	897	1249
418	898	1246
419	899	1242
420	900	1239
421	901	1235
422	902	1231
423	903	1227
424	906	1226
425	908	1223
426	909	1220
427	910	1217
428	912	1213
429	913	1210
430	914	1207
431	915	1204
432	917	1200
433	918	1197
434	919	1194
435	922	1193
436	924	1190
437	925	1187
438	927	1184
439	928	1181
440	929	1178
441	931	1175
442	932	1171
443	934	1169
444	937	1168
445	938	1165
446	939	1162
447	941	1160
448	943	1157
449	944	1154
450	945	1151
451	946	1148
452	948	1144
453	949	1141
454	951	1140
455	953	1137
456	955	1134
457	956	1131
458	957	1128
459	958	1125
460	959	1122
461	960	1118
462	961	1115
463	963	1112
464	964	1109
465	967	1108
466	968	1105
467	969	1102
468	970	1099
469	971	1095
470	972	1092
471	973	1089
472	975	1086
473	976	1083
474	977	1079
475	978	1076
476	979	1073
477	982	1072
478	983	1069
479	984	1067
480	985	1063
481	987	1060
482	988	1057
483	989	1054
484	990	1051
485	991	1048
486	992	1045
487	993	1042
488	996	1041
489	999	1040
490	1000	1037
491	1001	1034
492	1003	1032
493	1005	1029
494	1006	1027
495	1007	1024
496	1009	1021
497	1016	1024
498	1019	1023
499	1021	1021
500	1022	1018
501	1023	1015
502	1025	1012
503	1030	1013
504	1031	1010
505	1032	1008
506	1034	1005
507	1035	1002
508	1036	999
509	1037	996
510	1038	994
511	1039	991
512	1043	990
513	1045	988
514	1047	986
515	1048	983
516	1050	981
517	1051	978
518	1052	975
519	1054	973
520	1058	972
521	1061	971
522	1062	969
523	1063	966
524	1067	965
525	1069	963
526	1070	960
527	1078	963
528	1079	960
529	1080	957
530	1081	955
531	1082	952
532	1083	949
533	1084	946
534	1085	943
535	1086	940
536	1089	939
537	1090	936
538	1092	934
539	1093	931
540	1094	928
541	1096	926
542	1097	923
543	1098	920
544	1099	918
545	1106	920
546	1107	917
547	1109	915
548	1110	912
549	1111	909
550	1113	907
551	1114	904
552	1116	902
553	1118	900
554	1119	897
555	1121	895
556	1123	893
557	1124	891
558	1126	888
559	1127	885
560	1128	883
561	1137	886
562	1141	886
563	1142	883
564	1145	881
565	1147	879
566	1148	877
567	1150	874
568	1151	872
569	1152	869
570	1153	866
571	1155	864
572	1156	861
573	1165	864
574	1167	862
575	1168	859
576	1169	857
577	1170	854
578	1171	852
579	1176	851
580	1178	850
581	1180	847
582	1183	846
583	1184	843
584	1185	841
585	1187	838
586	1188	835
587	1193	835
588	1194	833
589	1195	830
590	1196	828
591	1198	825
592	1199	823
593	1200	820
594	1201	817
595	1202	815
596	1204	812
597	1208	812
598	1209	809
599	1210	807
600	1211	804
601	1212	801
602	1214	799
603	1215	796
604	1216	794
605	1217	791
606	1220	790
607	1222	788
608	1224	785
609	1225	783
610	1226	780
611	1227	778
612	1228	775
613	1229	772
614	1230	770
615	1231	767
616	1232	765
617	1235	763
618	1238	762
619	1239	759
620	1241	757
621	1242	755
622	1244	752
